type,image,repeatability,algorithm
v,4,0.54736328125,keynet
v,5,0.64208984375,keynet
v,6,0.52294921875,keynet
v,2,0.77978515625,keynet
v,3,0.556884765625,keynet
v,4,0.63623046875,keynet
v,5,0.614501953125,keynet
v,6,0.5205078125,keynet
v,2,0.72314453125,keynet
v,3,0.41259765625,keynet
v,4,0.81298828125,keynet
v,5,0.526123046875,keynet
v,6,0.586181640625,keynet
v,2,0.85986328125,keynet
v,3,0.805419921875,keynet
v,4,0.712890625,keynet
v,5,0.562744140625,keynet
v,6,0.44140625,keynet
v,2,0.589599609375,keynet
v,3,0.4853515625,keynet
v,4,0.34228515625,keynet
v,5,0.308837890625,keynet
v,6,0.239501953125,keynet
v,2,0.594970703125,keynet
v,3,0.524169921875,keynet
v,4,0.572998046875,keynet
